Wavelength (nm), Global Tilt (W m-2 nm-1), Flux (W m-2)
343.00, 5.148900e-01, 1.424434e-01
343.50, 4.860900e-01, 1.346719e-01
344.00, 4.184300e-01, 1.160954e-01
344.50, 4.030700e-01, 1.119962e-01
345.00, 4.589800e-01, 1.277164e-01
345.50, 4.893200e-01, 1.363561e-01
346.00, 4.777800e-01, 1.333330e-01
346.50, 4.865700e-01, 1.359823e-01
347.00, 4.940400e-01, 1.382691e-01
347.50, 4.767400e-01, 1.336196e-01
348.00, 4.751100e-01, 1.333543e-01
348.50, 4.833600e-01, 1.358649e-01
349.00, 4.656400e-01, 1.310718e-01
349.50, 4.780500e-01, 1.347579e-01
350.00, 5.279800e-01, 1.490456e-01
350.50, 5.674100e-01, 1.604053e-01
351.00, 5.517200e-01, 1.561923e-01
351.50, 5.302200e-01, 1.503194e-01
352.00, 5.179100e-01, 1.470384e-01
352.50, 4.896200e-01, 1.392041e-01
353.00, 5.204000e-01, 1.481650e-01
353.50, 5.722800e-01, 1.631668e-01
354.00, 6.049800e-01, 1.727341e-01
354.50, 6.115600e-01, 1.748594e-01
355.00, 6.114000e-01, 1.750602e-01
355.50, 5.902800e-01, 1.692511e-01
356.00, 5.538700e-01, 1.590346e-01
356.50, 5.194200e-01, 1.493523e-01
357.00, 4.567300e-01, 1.315108e-01
357.50, 4.621500e-01, 1.332578e-01
358.00, 4.300600e-01, 1.241783e-01
358.50, 3.992600e-01, 1.154459e-01
359.00, 4.695300e-01, 1.359538e-01
359.50, 5.654900e-01, 1.639674e-01
360.00, 5.981700e-01, 1.736844e-01
360.50, 5.653100e-01, 1.643712e-01
361.00, 5.202400e-01, 1.514763e-01
361.50, 5.095600e-01, 1.485721e-01
362.00, 5.342000e-01, 1.559718e-01
362.50, 5.851000e-01, 1.710692e-01
363.00, 6.019100e-01, 1.762268e-01
363.50, 5.854100e-01, 1.716320e-01
364.00, 6.062800e-01, 1.779952e-01
364.50, 6.005800e-01, 1.765640e-01
365.00, 6.235900e-01, 1.835801e-01
365.50, 6.862800e-01, 2.023124e-01
366.00, 7.353200e-01, 2.170657e-01
366.50, 7.365800e-01, 2.177347e-01
367.00, 7.228500e-01, 2.139676e-01
367.50, 7.091400e-01, 2.101953e-01
368.00, 6.675900e-01, 1.981488e-01
368.50, 6.631000e-01, 1.970835e-01
369.00, 6.931500e-01, 2.062943e-01
369.50, 7.446900e-01, 2.219339e-01
370.00, 7.550700e-01, 2.253319e-01
370.50, 6.826100e-01, 2.039833e-01
371.00, 6.933800e-01, 2.074813e-01
371.50, 7.205100e-01, 2.158900e-01
372.00, 6.744400e-01, 2.023578e-01
372.50, 6.425300e-01, 1.930427e-01
373.00, 6.188600e-01, 1.861808e-01
373.50, 5.578600e-01, 1.680543e-01
374.00, 5.564000e-01, 1.678388e-01
374.50, 5.522700e-01, 1.668157e-01
375.00, 5.893000e-01, 1.782385e-01
375.50, 6.516200e-01, 1.973504e-01
376.00, 6.748000e-01, 2.046429e-01
376.50, 6.639000e-01, 2.016050e-01
377.00, 7.122500e-01, 2.165746e-01
377.50, 7.945500e-01, 2.419201e-01
378.00, 8.559500e-01, 2.609600e-01
378.50, 8.341800e-01, 2.546592e-01
379.00, 7.438900e-01, 2.273954e-01
379.50, 6.668300e-01, 2.041083e-01
380.00, 7.007700e-01, 2.147795e-01
380.50, 7.507500e-01, 2.304007e-01
381.00, 7.638300e-01, 2.347229e-01
381.50, 6.883700e-01, 2.118118e-01
382.00, 5.867800e-01, 1.807892e-01
382.50, 5.076200e-01, 1.566044e-01
383.00, 4.549900e-01, 1.405511e-01
383.50, 4.404900e-01, 1.362496e-01
384.00, 5.096800e-01, 1.578565e-01
384.50, 6.135900e-01, 1.902866e-01
385.00, 6.735500e-01, 2.091531e-01
385.50, 6.436300e-01, 2.001218e-01
386.00, 6.210000e-01, 1.933359e-01
386.50, 6.457000e-01, 2.012862e-01
387.00, 6.514700e-01, 2.033476e-01
387.50, 6.420400e-01, 2.006631e-01
388.00, 6.358200e-01, 1.989755e-01
388.50, 6.313600e-01, 1.978344e-01
389.00, 6.854300e-01, 2.150534e-01
389.50, 7.597000e-01, 2.386620e-01
390.00, 7.969900e-01, 2.506982e-01
390.50, 8.037100e-01, 2.531361e-01
391.00, 8.513800e-01, 2.684936e-01
391.50, 8.634400e-01, 2.726451e-01
392.00, 7.949300e-01, 2.513325e-01
392.50, 6.625700e-01, 2.097515e-01
393.00, 4.797500e-01, 1.520692e-01
393.50, 3.815200e-01, 1.210865e-01
394.00, 4.956700e-01, 1.575152e-01
394.50, 6.838500e-01, 2.175913e-01
395.00, 8.077200e-01, 2.573307e-01
395.50, 8.603800e-01, 2.744546e-01
396.00, 7.565500e-01, 2.416387e-01
